title,thumbnail,link,viewcount,age
Maths and Stats Course | Teaser | The beginning of data science,https://i.ytimg.com/vi/wHc2_0wCVmc/hqdefault.jpg,https://www.youtube.com/watch?v=wHc2_0wCVmc,6.3K views,21 hours ago
Data Analyst Roadmap 2024 | Data Analyst Weekly Study Plan | Free Resources to Become Data Analyst,https://i.ytimg.com/vi/bCLBdxfe57o/hqdefault.jpg,https://www.youtube.com/watch?v=bCLBdxfe57o,50K views,4 days ago
How to get data analyst job as a fresher in 2024,https://i.ytimg.com/vi/GJlxjccMa_Y/hqdefault.jpg,https://www.youtube.com/watch?v=GJlxjccMa_Y,91K views,2 weeks ago
About Data Analyst Bootcamp 2.0..,https://i.ytimg.com/vi/yWdmGxoBfFg/hqdefault.jpg,https://www.youtube.com/watch?v=yWdmGxoBfFg,21K views,4 weeks ago
